,Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
0,1,=,SZA ,Kill Bill,5,1,(x2),47288509,5814143.0,208044297
1,2,+3,Metro Boomin ,Creepin',6,2,(x1),30753658,2661426.0,184223144
2,3,-1,Sam Smith ,Unholy,16,1,(x7),30733283,-2398892.0,673533882
3,4,-1,Harry Styles ,As It Was,41,1,(x11),28522200,-2475884.0,1747957886
4,5,-1,David Guetta ,I'm Good (Blue),20,2,(x4),27260313,-3443943.0,568898155
5,6,=,Manuel Turizo ,La Bachata,28,4,(x4),25879286,-1477809.0,693820743
6,7,=,Taylor Swift ,Anti,12,1,(x3),24839659,-607201.0,458799904
7,8,+1,Arcángel ,La Jumpa,6,8,(x3),24149297,249994.0,147015494
8,9,-1,Bizarrap ,"Quevedo: Bzrp Music Sessions, Vol. 52",27,1,(x9),21956111,-2494755.0,915813564
9,10,+1,Stephen Sanchez ,Until I Found You,6,10,(x9),21822777,1666570.0,103784452
10,11,+10,NewJeans ,Ditto,4,11,(x9),21677065,3664459.0,68067644
11,12,+7,RAYE ,Escapism.,7,12,(x9),21429705,2773622.0,109327462
12,13,=,Rema ,Calm Down,20,13,(x9),20759756,814671.0,308893083
13,14,+6,JVKE ,golden hour,20,14,(x9),19886531,1406596.0,282660890
14,15,+3,Tom Odell ,Another Love,92,15,(x9),19683471,869838.0,960815803
15,16,-2,Drake ,Rich Flex,10,2,(x1),19354054,-431589.0,265183146
16,17,-2,OneRepublic ,I Ain't Worried,32,7,(x1),19178078,-364159.0,625122651
17,18,-2,Ozuna ,Hey Mor,13,14,(x1),19067248,-255087.0,228828761
18,19,+4,The Weeknd ,Die For You,52,19,(x1),18785838,1175379.0,540570233
19,20,-8,Meghan Trainor ,Made You Look,12,8,(x1),18591771,-1475487.0,221625214
20,21,+1,Central Cee ,LET GO,4,19,(x1),18433690,531070.0,77590687
21,22,+6,d4vd ,Here With Me,11,22,(x1),18219249,1442345.0,145129054
22,23,-13,Bad Bunny ,Me Porto Bonito,36,2,(x1),18132776,-2452416.0,1081103183
23,24,+3,Eminem ,Mockingbird,13,24,(x1),17710376,911118.0,195648677
24,25,+28,Miguel ,Sure Thing,5,25,(x1),17101609,5844129.0,54851711
25,26,-2,Oliver Tree ,Miss You,14,11,(x1),17020232,-395327.0,253991950
26,27,-2,Ñengo Flow ,Gato de Noche,3,25,(x1),16826084,-575559.0,55174215
27,28,+3,Arctic Monkeys ,I Wanna Be Yours,27,27,(x1),16542826,845778.0,332739686
28,29,-12,Bad Bunny ,Tití Me Preguntó,36,4,(x1),16512099,-2738675.0,974249817
29,30,+65,NewJeans ,OMG,2,30,(x1),16499391,7621342.0,25377440
30,31,-5,Chris Brown ,Under The Influence,25,6,(x1),15898859,-1097859.0,505331186
31,32,+5,d4vd ,Romantic Homicide,19,17,(x1),15716834,872190.0,286956562
32,33,+26,Fuerza Regida ,Bebe Dame,2,33,(x1),15240261,4669083.0,25811439
33,34,+1,Steve Lacy ,Bad Habit,27,10,(x1),15203124,31331.0,521287999
34,35,+4,The Neighbourhood ,Sweater Weather,149,19,(x1),14859289,383295.0,1343718503
35,36,+2,Rosa Linn ,SNAP,27,16,(x1),14672479,-19000.0,416217045
36,37,-8,ROSALÍA ,DESPECHÁ,24,5,(x1),14534374,-1878641.0,517235075
37,38,-6,Lady Gaga ,Bloody Mary,7,31,(x1),14466738,-1058261.0,104814981
38,39,NEW,Bizarrap ,"Shakira: Bzrp Music Sessions, Vol. 53",1,39,(x1),14393342,-1058261.0,14393342
39,40,+1,King ,Maan Meri Jaan,8,40,(x1),14237358,-206150.0,99597999
40,41,-8,Bad Bunny ,Efecto,36,6,(x1),14156998,-1358417.0,776595688
41,42,+3,Lil Uzi Vert ,Just Wanna Rock,12,42,(x1),14146121,717561.0,143164829
42,43,+8,Metro Boomin ,Superhero (Heroes & Villains) [with Future & Chris Brown],6,15,(x1),14044668,1717639.0,94519639
43,44,+3,Imagine Dragons ,Bones,44,26,(x1),13772742,692287.0,472773617
44,45,-9,Glass Animals ,Heat Waves,107,1,(x10),13749412,-1320155.0,2109785409
45,46,-12,Bad Bunny ,Ojitos Lindos,36,3,(x2),13701369,-1547875.0,835016517
46,47,-4,SZA ,Nobody Gets Me,5,12,(x2),13664312,81827.0,86305545
47,48,-4,Feid ,Feliz Cumpleaños Ferxxo,21,38,(x2),13614448,146035.0,249680207
48,49,+1,The Weeknd ,Starboy,133,1,(x6),13540082,818994.0,1353585964
49,50,-10,The Kid LAROI ,Stay,79,1,(x12),13422875,-1052191.0,2244267438
50,51,-21,Beyoncé ,CUFF IT,21,13,(x12),13334215,-2471804.0,303111842
51,52,-10,The Weeknd ,Blinding Lights,163,1,(x13),12719479,-1359801.0,3291327093
52,53,-1,Joji ,Glimpse of Us,31,1,(x1),12361086,228304.0,697978803
53,54,NEW,Yandel ,Yandel 150,1,54,(x1),12150584,228304.0,12150584
54,55,+116,Marília Mendonça ,Leão,2,55,(x1),12008314,4829640.0,19186988
55,56,-7,Rauw Alejandro ,LOKERA,22,38,(x1),12003294,-925209.0,257876910
56,57,-3,SZA ,Shirt,11,21,(x1),11490684,385576.0,145618530
57,58,+2,Quevedo ,Punto G,10,58,(x1),11387945,951245.0,99165521
58,59,-1,Shakira ,Monotonía,12,21,(x1),11222037,433856.0,176899905
59,60,+19,Carin Leon ,Que Vuelvas,2,60,(x1),11098325,1881194.0,20315456
60,61,-13,Bad Bunny ,Neverita,36,15,(x1),10933949,-2114022.0,471672696
61,62,-16,Elton John ,Cold Heart,74,4,(x1),10887566,-2452971.0,1314935328
62,63,-1,The Weeknd ,I Was Never There,32,17,(x1),10824856,598406.0,304723168
63,64,-8,Stephen Sanchez ,Until I Found You,36,20,(x1),10672440,-268106.0,482639173
64,65,+4,SZA ,Low,5,29,(x1),10667485,824040.0,62295666
65,66,-3,LE SSERAFIM ,ANTIFRAGILE,12,63,(x1),10481962,332802.0,116067796
66,67,+8,Tiësto ,10:35,4,67,(x1),10410147,963822.0,34652646
67,68,=,Arctic Monkeys ,505,54,43,(x1),10378573,523679.0,494727060
68,69,-5,Ruth B. ,Dandelions,74,34,(x1),10340508,362526.0,686988906
69,70,+36,Tory Lanez ,The Color Violet,2,70,(x1),10203504,1651127.0,18755881
70,71,-4,Fujii Kaze ,Shinunoga E,8,66,(x1),10080283,189673.0,81538256
